station,line,lat,lon,hour,classic_count,thermal_count,lost_count,reduction_pct
왕십리역,2호선/수분당/중앙,37.5613,127.0377,7,3575,2810,765,21.4
왕십리역,2호선/수분당/중앙,37.5613,127.0377,10,3575,2786,789,22.1
왕십리역,2호선/수분당/중앙,37.5613,127.0377,13,3575,2532,1043,29.2
왕십리역,2호선/수분당/중앙,37.5613,127.0377,16,3575,2532,1043,29.2
행당역,5호선,37.5572,127.0305,7,3588,2495,1093,30.5
행당역,5호선,37.5572,127.0305,10,3588,2475,1113,31.0
행당역,5호선,37.5572,127.0305,13,3588,2108,1480,41.2
행당역,5호선,37.5572,127.0305,16,3588,2109,1479,41.2
응봉역,경의중앙선,37.552,127.0353,7,3850,2273,1577,41.0
응봉역,경의중앙선,37.552,127.0353,10,3850,2143,1707,44.3
응봉역,경의중앙선,37.552,127.0353,13,3850,1845,2005,52.1
응봉역,경의중앙선,37.552,127.0353,16,3850,1851,1999,51.9
뚝섬역,2호선,37.547,127.0475,7,2637,1621,1016,38.5
뚝섬역,2호선,37.547,127.0475,10,2637,1601,1036,39.3
뚝섬역,2호선,37.547,127.0475,13,2637,1336,1301,49.3
뚝섬역,2호선,37.547,127.0475,16,2637,1336,1301,49.3
성수역,2호선,37.5447,127.0561,7,1594,1155,439,27.5
성수역,2호선,37.5447,127.0561,10,1594,1155,439,27.5
성수역,2호선,37.5447,127.0561,13,1594,985,609,38.2
성수역,2호선,37.5447,127.0561,16,1594,986,608,38.1
서울숲역,수인분당선,37.5446,127.0448,7,2451,1476,975,39.8
서울숲역,수인분당선,37.5446,127.0448,10,2451,1467,984,40.1
서울숲역,수인분당선,37.5446,127.0448,13,2451,1196,1255,51.2
서울숲역,수인분당선,37.5446,127.0448,16,2451,1199,1252,51.1
옥수역,3호선/중앙선,37.5402,127.0171,7,760,442,318,41.8
옥수역,3호선/중앙선,37.5402,127.0171,10,760,442,318,41.8
옥수역,3호선/중앙선,37.5402,127.0171,13,760,375,385,50.7
옥수역,3호선/중앙선,37.5402,127.0171,16,760,375,385,50.7
