hour,Tair,RH,va,GHI
0,30.17142857142857,63.714285714285715,1.1400000000000001,0.0
1,29.614285714285717,66.42857142857143,1.0785714285714285,0.0
2,29.085714285714285,70.14285714285714,0.8728571428571429,0.0
3,28.642857142857142,73.14285714285714,0.9400000000000001,0.0
4,28.185714285714287,75.42857142857143,0.9314285714285715,0.0
5,27.814285714285713,77.28571428571429,1.0914285714285714,0.0
6,27.400000000000002,79.71428571428571,0.9428571428571428,3.5714285714285716
7,27.957142857142856,76.42857142857143,0.86,71.85714285714286
8,29.457142857142856,67.71428571428571,0.7257142857142858,221.71428571428572
9,31.014285714285712,59.714285714285715,0.8757142857142857,368.85714285714283
10,32.57142857142857,54.285714285714285,1.1871428571428573,517.8571428571429
11,33.98571428571428,47.57142857142857,1.4271428571428573,630.8571428571429
12,34.91428571428572,43.142857142857146,1.7785714285714285,650.5714285714286
13,35.4,40.57142857142857,1.9314285714285713,607.5714285714286
14,36.08571428571428,37.857142857142854,1.9785714285714284,652.8571428571429
15,36.31428571428571,36.857142857142854,2.132857142857143,613.5714285714286
16,35.94285714285714,37.714285714285715,2.3514285714285714,506.42857142857144
17,35.4,39.714285714285715,2.48,400.7142857142857
18,34.55714285714286,42.42857142857143,2.2842857142857143,252.28571428571428
19,33.471428571428575,45.57142857142857,2.1185714285714288,100.28571428571429
20,32.24285714285714,51.42857142857143,1.92,11.142857142857142
21,31.457142857142856,55.142857142857146,1.6642857142857144,0.0
22,30.214285714285715,60.714285714285715,1.7185714285714284,0.0
23,29.728571428571428,62.714285714285715,1.3757142857142857,0.0
