USE_MM,total_h07,total_h10,total_h13,total_h16,total_daily,station,ratio_h07,ratio_h10,ratio_h13,ratio_h16,year
202307,58872.0,55338.0,62013.0,81649.0,1370447.0,뚝섬역,0.043,0.0404,0.0453,0.0596,2023
202307,37617.0,33578.0,38409.0,50404.0,747227.0,서울숲역,0.0503,0.0449,0.0514,0.0675,2023
202307,97509.0,94725.0,108500.0,140033.0,2375003.0,성수역,0.0411,0.0399,0.0457,0.059,2023
202307,30786.0,24422.0,26102.0,33634.0,525938.0,옥수역,0.0585,0.0464,0.0496,0.064,2023
202307,93203.0,84528.0,108748.0,139599.0,2128328.0,왕십리역,0.0438,0.0397,0.0511,0.0656,2023
202307,8997.0,5058.0,4593.0,6018.0,99940.0,응봉역,0.09,0.0506,0.046,0.0602,2023
202307,36178.0,19491.0,19620.0,23873.0,439303.0,행당역,0.0824,0.0444,0.0447,0.0543,2023
202308,59152.0,56172.0,61425.0,83290.0,1365377.0,뚝섬역,0.0433,0.0411,0.045,0.061,2023
202308,37103.0,32063.0,37551.0,49000.0,730784.0,서울숲역,0.0508,0.0439,0.0514,0.0671,2023
202308,97633.0,93444.0,102914.0,135400.0,2306827.0,성수역,0.0423,0.0405,0.0446,0.0587,2023
202308,30214.0,23243.0,25145.0,32840.0,508741.0,옥수역,0.0594,0.0457,0.0494,0.0646,2023
202308,92598.0,82627.0,104213.0,135782.0,2067213.0,왕십리역,0.0448,0.04,0.0504,0.0657,2023
202308,8639.0,4947.0,4468.0,6059.0,97918.0,응봉역,0.0882,0.0505,0.0456,0.0619,2023
202308,36621.0,18908.0,18477.0,24036.0,429988.0,행당역,0.0852,0.044,0.043,0.0559,2023
202407,65607.0,62504.0,65653.0,89680.0,1495542.0,뚝섬역,0.0439,0.0418,0.0439,0.06,2024
202407,39975.0,33564.0,36538.0,49756.0,751817.0,서울숲역,0.0532,0.0446,0.0486,0.0662,2024
202407,104394.0,113246.0,130867.0,170018.0,2723685.0,성수역,0.0383,0.0416,0.048,0.0624,2024
202407,32182.0,24735.0,26717.0,34500.0,540730.0,옥수역,0.0595,0.0457,0.0494,0.0638,2024
202407,100212.0,85968.0,110391.0,147885.0,2215036.0,왕십리역,0.0452,0.0388,0.0498,0.0668,2024
202407,8935.0,5228.0,4668.0,6512.0,103576.0,응봉역,0.0863,0.0505,0.0451,0.0629,2024
202407,39282.0,19771.0,20170.0,25208.0,454425.0,행당역,0.0864,0.0435,0.0444,0.0555,2024
202408,58406.0,58947.0,64808.0,89454.0,1403255.0,뚝섬역,0.0416,0.042,0.0462,0.0637,2024
202408,35610.0,31176.0,35001.0,47331.0,701054.0,서울숲역,0.0508,0.0445,0.0499,0.0675,2024
202408,94733.0,106327.0,126655.0,169288.0,2547691.0,성수역,0.0372,0.0417,0.0497,0.0664,2024
202408,29459.0,22649.0,24861.0,32591.0,505504.0,옥수역,0.0583,0.0448,0.0492,0.0645,2024
202408,89653.0,82282.0,106894.0,143386.0,2095931.0,왕십리역,0.0428,0.0393,0.051,0.0684,2024
202408,8118.0,4775.0,4129.0,6060.0,94986.0,응봉역,0.0855,0.0503,0.0435,0.0638,2024
202408,34848.0,19376.0,18992.0,23940.0,423156.0,행당역,0.0824,0.0458,0.0449,0.0566,2024
