station,year,total_h07,total_h10,total_h13,total_h16,total_daily,ratio_h07,ratio_h10,ratio_h13,ratio_h16
뚝섬역,2023,59012.0,55755.0,61719.0,82469.5,1367912.0,0.0,0.0,0.0,0.1
뚝섬역,2024,62006.5,60725.5,65230.5,89567.0,1449398.5,0.0,0.0,0.0,0.1
서울숲역,2023,37360.0,32820.5,37980.0,49702.0,739005.5,0.1,0.0,0.1,0.1
서울숲역,2024,37792.5,32370.0,35769.5,48543.5,726435.5,0.1,0.0,0.0,0.1
성수역,2023,97571.0,94084.5,105707.0,137716.5,2340915.0,0.0,0.0,0.0,0.1
성수역,2024,99563.5,109786.5,128761.0,169653.0,2635688.0,0.0,0.0,0.0,0.1
옥수역,2023,30500.0,23832.5,25623.5,33237.0,517339.5,0.1,0.0,0.0,0.1
옥수역,2024,30820.5,23692.0,25789.0,33545.5,523117.0,0.1,0.0,0.0,0.1
왕십리역,2023,92900.5,83577.5,106480.5,137690.5,2097770.5,0.0,0.0,0.1,0.1
왕십리역,2024,94932.5,84125.0,108642.5,145635.5,2155483.5,0.0,0.0,0.1,0.1
응봉역,2023,8818.0,5002.5,4530.5,6038.5,98929.0,0.1,0.1,0.0,0.1
응봉역,2024,8526.5,5001.5,4398.5,6286.0,99281.0,0.1,0.1,0.0,0.1
행당역,2023,36399.5,19199.5,19048.5,23954.5,434645.5,0.1,0.0,0.0,0.1
행당역,2024,37065.0,19573.5,19581.0,24574.0,438790.5,0.1,0.0,0.0,0.1
